student_id,event_id,attended,rating,feedback
S0620,E096,1,3,"Nothing special, but not bad."
S0599,E099,1,1,Waste of time.
S0645,E031,1,5,Best event of the year!
S0838,E049,1,4,The event was amazing!
S0077,E140,0,0,
S0352,E078,1,2,Didn't learn anything.
S0739,E040,1,2,Waste of time.
S0429,E141,1,5,Great speakers and organization.
S0917,E094,1,1,Very boring.
S0070,E124,1,5,Super informative and fun.
S0810,E006,1,5,Great speakers and organization.
S0714,E034,1,1,Didn't learn anything.
S0063,E049,1,4,Best event of the year!
S0546,E132,1,2,Very boring.
S0769,E131,1,5,Loved the vibe.
S0411,E070,1,2,Terrible organization.
S0164,E147,1,5,Best event of the year!
S0010,E132,1,5,Best event of the year!
S0738,E135,1,3,"Nothing special, but not bad."
S0304,E069,0,0,
S0122,E044,1,1,Didn't learn anything.
S0244,E075,1,2,The audio was really bad.
S0950,E035,1,1,Waste of time.
S0844,E054,0,0,
S0119,E001,1,5,Great speakers and organization.
S0333,E022,0,0,
S0271,E035,1,5,Great speakers and organization.
S0333,E015,1,3,"Nothing special, but not bad."
S0749,E072,1,3,It was okay.
S0551,E150,1,4,Best event of the year!
S0264,E142,1,4,Really enjoyed it.
S0333,E069,1,5,Best event of the year!
S0828,E102,1,4,Really enjoyed it.
S0748,E112,1,2,Very boring.
S0096,E127,1,4,Really enjoyed it.
S0836,E046,1,5,Loved the vibe.
S0966,E047,1,1,The audio was really bad.
S0167,E046,1,5,Really enjoyed it.
S0072,E037,1,4,Really enjoyed it.
S0466,E104,1,5,Really enjoyed it.
S0745,E004,0,0,
S0103,E097,1,1,Terrible organization.
S0847,E004,1,2,Waste of time.
S0789,E022,1,2,Didn't learn anything.
S0014,E003,1,5,Best event of the year!
S0838,E087,1,2,Waste of time.
S0492,E145,1,2,The audio was really bad.
S0340,E123,1,2,Terrible organization.
S0557,E069,0,0,
S0127,E006,1,1,Didn't learn anything.
S0304,E027,0,0,
S0908,E107,1,1,Waste of time.
S0025,E059,1,4,Really enjoyed it.
S0362,E074,1,4,Best event of the year!
S0906,E029,1,2,Terrible organization.
S0230,E027,1,3,It was okay.
S0631,E086,1,3,It was okay.
S0918,E012,0,0,
S0155,E046,1,5,Great speakers and organization.
S0615,E047,1,2,The audio was really bad.
S0640,E074,1,1,The audio was really bad.
S0939,E128,1,3,It was okay.
S0808,E001,1,2,The audio was really bad.
S0152,E100,1,4,The event was amazing!
S0116,E148,1,3,"Nothing special, but not bad."
S0093,E083,1,2,Very boring.
S0362,E082,1,4,Loved the vibe.
S0711,E106,0,0,
S0813,E086,1,2,Very boring.
S0510,E138,0,0,
S0505,E137,0,0,
S0842,E059,1,1,Didn't learn anything.
S0733,E108,0,0,
S0592,E057,1,2,The audio was really bad.
S0003,E053,1,3,Could be better organized.
S0486,E035,1,1,The audio was really bad.
S0370,E036,1,4,Really enjoyed it.
S0856,E142,1,2,Waste of time.
S0848,E058,1,2,Terrible organization.
S0986,E037,1,1,Very boring.
S0381,E014,1,5,The event was amazing!
S0489,E041,1,2,The audio was really bad.
S0145,E021,1,1,Terrible organization.
S0583,E107,1,2,Very boring.
S0762,E036,0,0,
S0716,E077,1,4,Best event of the year!
S0346,E114,1,3,It was okay.
S0160,E016,1,5,Really enjoyed it.
S0516,E042,1,4,Loved the vibe.
S0697,E117,0,0,
S0729,E067,0,0,
S0514,E079,1,4,Really enjoyed it.
S0279,E024,0,0,
S0387,E033,1,4,Super informative and fun.
S0058,E057,1,2,Didn't learn anything.
S0620,E020,1,4,Great speakers and organization.
S0669,E104,1,2,Terrible organization.
S0823,E096,1,2,The audio was really bad.
S0112,E027,1,3,Could be better organized.
S0798,E086,1,2,The audio was really bad.
S0167,E139,1,1,Waste of time.
S0612,E003,1,2,Didn't learn anything.
S0207,E009,1,3,It was okay.
S0584,E145,1,5,Loved the vibe.
S0047,E013,1,1,The audio was really bad.
S0009,E092,1,4,Super informative and fun.
S0200,E081,1,3,"Nothing special, but not bad."
S0720,E025,1,4,Best event of the year!
S0516,E026,0,0,
S0827,E039,1,5,Loved the vibe.
S0489,E010,1,2,Waste of time.
S0699,E119,1,1,Waste of time.
S0906,E056,1,2,Didn't learn anything.
S0529,E134,1,4,Really enjoyed it.
S0348,E075,1,5,Loved the vibe.
S0041,E100,1,2,Didn't learn anything.
S0622,E020,1,5,Best event of the year!
S0510,E025,1,2,The audio was really bad.
S0561,E023,1,1,Very boring.
S0322,E044,1,2,Terrible organization.
S0287,E148,1,3,It was okay.
S0073,E046,1,3,Decent event.
S0263,E114,1,1,Didn't learn anything.
S0500,E011,1,3,Decent event.
S0419,E034,1,3,Could be better organized.
S0866,E081,1,1,Very boring.
S0519,E116,1,1,Didn't learn anything.
S0660,E015,1,5,The event was amazing!
S0159,E027,1,4,Really enjoyed it.
S0584,E103,1,2,Very boring.
S0896,E119,1,3,Decent event.
S0480,E137,1,1,Terrible organization.
S0185,E028,1,4,Really enjoyed it.
S0412,E085,1,3,Average experience.
S0619,E125,1,4,The event was amazing!
S0286,E117,1,5,Really enjoyed it.
S0972,E121,1,2,The audio was really bad.
S0582,E009,0,0,
S0793,E098,1,3,Decent event.
S0485,E055,1,2,Terrible organization.
S0976,E109,1,3,"Nothing special, but not bad."
S0086,E037,1,3,Decent event.
S0084,E077,1,4,Super informative and fun.
S0220,E067,1,1,Terrible organization.
S0917,E110,1,3,"Nothing special, but not bad."
S0204,E090,1,4,Loved the vibe.
S0549,E042,1,3,Could be better organized.
S0399,E003,0,0,
S0802,E051,1,5,Super informative and fun.
S0149,E083,1,1,Waste of time.
S0919,E118,1,4,Great speakers and organization.
S0117,E105,1,5,Best event of the year!
S0004,E116,1,4,Best event of the year!
S0993,E149,1,1,Waste of time.
S0764,E049,1,5,Really enjoyed it.
S0616,E097,1,3,"Nothing special, but not bad."
S0976,E049,0,0,
S0979,E004,1,3,It was okay.
S0310,E079,0,0,
S0839,E032,1,4,Loved the vibe.
S0421,E091,1,5,Loved the vibe.
S0536,E086,1,2,Very boring.
S0439,E096,1,5,Super informative and fun.
S0447,E098,1,4,Best event of the year!
S0291,E026,1,1,Terrible organization.
S0666,E005,0,0,
S0955,E106,1,4,Best event of the year!
S0770,E140,1,4,Super informative and fun.
S0596,E009,1,4,Really enjoyed it.
S0229,E117,0,0,
S0391,E030,1,4,The event was amazing!
S0360,E119,1,4,The event was amazing!
S0963,E096,1,5,Great speakers and organization.
S0275,E068,1,4,Best event of the year!
S0248,E002,1,1,Terrible organization.
S0027,E040,1,5,Best event of the year!
S0615,E082,1,2,Didn't learn anything.
S0441,E062,0,0,
S0997,E101,1,5,Best event of the year!
S0403,E014,0,0,
S0440,E033,1,2,Very boring.
S0926,E082,0,0,
S0163,E112,1,1,Waste of time.
S0517,E031,0,0,
S0804,E101,1,5,Really enjoyed it.
S0972,E083,1,1,Terrible organization.
S0027,E112,1,5,Really enjoyed it.
S0029,E140,1,5,Loved the vibe.
S0026,E034,1,3,"Nothing special, but not bad."
S0246,E057,1,2,Didn't learn anything.
S0861,E063,1,3,It was okay.
S0282,E022,1,1,Didn't learn anything.
S0888,E027,1,4,Super informative and fun.
S0126,E028,1,3,Average experience.
S0917,E047,1,1,Very boring.
S0865,E093,1,4,The event was amazing!
S0503,E006,1,1,Very boring.
S0983,E020,1,4,Loved the vibe.
S0912,E081,1,2,Waste of time.
S0306,E003,1,5,Best event of the year!
S0622,E009,1,3,Average experience.
S0496,E140,1,2,Didn't learn anything.
S0760,E066,1,2,Didn't learn anything.
S0031,E138,1,5,Super informative and fun.
S0780,E040,1,3,It was okay.
S0921,E056,1,3,"Nothing special, but not bad."
S0226,E022,1,3,Average experience.
S0494,E052,1,3,Could be better organized.
S0668,E076,1,4,Loved the vibe.
S0525,E103,1,3,"Nothing special, but not bad."
S0203,E072,1,1,Didn't learn anything.
S0813,E080,1,2,Very boring.
S0444,E115,1,5,Best event of the year!
S0279,E082,0,0,
S0111,E099,1,2,Didn't learn anything.
S0362,E096,1,4,Really enjoyed it.
S0911,E009,0,0,
S0260,E105,1,5,Best event of the year!
S0974,E136,1,4,The event was amazing!
S0118,E047,1,4,Really enjoyed it.
S0367,E063,1,2,The audio was really bad.
S0381,E038,1,1,Terrible organization.
S0327,E003,1,2,Very boring.
S0582,E083,1,5,The event was amazing!
S0395,E073,0,0,
S0218,E135,1,1,Didn't learn anything.
S0285,E020,0,0,
S0915,E108,1,3,Average experience.
S0203,E051,1,4,Loved the vibe.
S0048,E071,1,1,Terrible organization.
S0464,E044,0,0,
S0335,E099,1,5,The event was amazing!
S0292,E005,0,0,
S0005,E119,1,2,Very boring.
S0038,E137,0,0,
S0041,E087,1,1,Very boring.
S0098,E107,1,3,Average experience.
S0772,E089,1,1,Didn't learn anything.
S0794,E081,1,5,The event was amazing!
S0403,E077,1,4,Best event of the year!
S0991,E032,1,5,The event was amazing!
S0030,E058,1,1,Waste of time.
S0108,E083,1,2,Waste of time.
S0091,E049,1,5,The event was amazing!
S0957,E014,1,1,Terrible organization.
S0050,E078,1,3,Average experience.
S0705,E098,1,2,Waste of time.
S0598,E118,1,2,The audio was really bad.
S0883,E038,0,0,
S0910,E106,1,1,Didn't learn anything.
S0541,E062,0,0,
S0490,E126,1,3,Decent event.
S0232,E024,1,3,It was okay.
S0362,E143,1,2,Terrible organization.
S0077,E127,1,2,Terrible organization.
S0687,E056,1,4,Really enjoyed it.
S0500,E027,1,2,Didn't learn anything.
S0780,E136,0,0,
S0880,E081,1,4,Best event of the year!
S0158,E130,1,2,Waste of time.
S0939,E094,1,4,Super informative and fun.
S0526,E052,1,2,Terrible organization.
S0285,E109,1,3,Could be better organized.
S0664,E027,1,4,The event was amazing!
S0763,E029,1,1,Very boring.
S0192,E069,1,4,Best event of the year!
S0544,E116,1,3,It was okay.
S0950,E141,1,3,Decent event.
S0218,E039,1,5,Loved the vibe.
S0521,E086,1,4,Great speakers and organization.
S0379,E026,1,4,Best event of the year!
S0951,E109,1,3,"Nothing special, but not bad."
S0413,E046,0,0,
S0283,E136,0,0,
S0506,E133,1,1,Terrible organization.
S0662,E064,1,2,Terrible organization.
S0055,E010,0,0,
S0273,E062,1,5,The event was amazing!
S0283,E058,0,0,
S0717,E104,1,4,The event was amazing!
S0226,E069,1,2,Waste of time.
S0805,E053,1,3,Could be better organized.
S0295,E001,1,2,Didn't learn anything.
S0930,E123,1,2,Waste of time.
S0323,E018,1,2,The audio was really bad.
S0922,E117,1,1,Very boring.
S0439,E086,1,2,The audio was really bad.
S0903,E020,1,1,Didn't learn anything.
S0361,E122,0,0,
S0002,E126,1,4,The event was amazing!
S0047,E005,0,0,
S0697,E075,1,5,Super informative and fun.
S0172,E038,1,1,The audio was really bad.
S0824,E086,1,4,Best event of the year!
S0360,E140,1,4,Great speakers and organization.
S0374,E118,1,3,Average experience.
S0728,E086,0,0,
S0794,E124,1,3,Could be better organized.
S0746,E006,1,4,Really enjoyed it.
S0676,E037,1,4,The event was amazing!
S0251,E148,1,3,"Nothing special, but not bad."
S0763,E023,1,4,Best event of the year!
S0111,E071,0,0,
S0921,E116,0,0,
S0180,E068,1,3,Decent event.
S0604,E107,1,3,"Nothing special, but not bad."
S0043,E149,0,0,
S0719,E088,0,0,
S0126,E111,1,5,Great speakers and organization.
S0296,E029,1,4,Best event of the year!
S0151,E120,1,5,Great speakers and organization.
S0639,E143,1,3,Decent event.
S0296,E017,1,1,Very boring.
S0042,E056,1,5,The event was amazing!
S0055,E126,1,1,Very boring.
S0361,E001,1,3,"Nothing special, but not bad."
S0359,E073,0,0,
S0682,E144,1,1,The audio was really bad.
S0147,E051,1,5,The event was amazing!
S0298,E057,1,4,Great speakers and organization.
S0255,E099,1,4,The event was amazing!
S0915,E067,1,5,Great speakers and organization.
S0178,E145,1,3,Could be better organized.
S0143,E052,1,2,Very boring.
S0568,E052,1,3,It was okay.
S0305,E146,1,5,Really enjoyed it.
S0385,E112,1,2,Didn't learn anything.
S0453,E081,0,0,
S0958,E092,1,3,Decent event.
S0478,E108,1,4,The event was amazing!
S0935,E144,1,4,The event was amazing!
S0774,E036,0,0,
S0929,E078,1,5,Super informative and fun.
S0383,E033,0,0,
S0557,E145,1,1,Very boring.
S0129,E104,1,4,Super informative and fun.
S0472,E014,1,1,The audio was really bad.
S0850,E028,1,5,The event was amazing!
S0842,E075,0,0,
S0494,E085,1,1,Didn't learn anything.
S0691,E131,1,2,Didn't learn anything.
S0148,E144,1,2,Waste of time.
S0917,E040,1,3,It was okay.
S0825,E125,0,0,
S0705,E052,1,1,Terrible organization.
S0157,E031,0,0,
S0100,E064,1,1,Very boring.
S0026,E130,1,4,The event was amazing!
S0949,E032,1,4,Loved the vibe.
S0189,E061,0,0,
S0267,E113,0,0,
S0127,E111,1,1,Waste of time.
S0146,E062,1,5,Best event of the year!
S0717,E140,1,4,Loved the vibe.
S0297,E075,1,5,Loved the vibe.
S0377,E071,1,4,Best event of the year!
S0820,E028,1,4,Loved the vibe.
S0152,E008,1,4,The event was amazing!
S0578,E100,1,5,Great speakers and organization.
S0035,E114,1,3,"Nothing special, but not bad."
S0480,E118,1,1,Waste of time.
S0367,E129,0,0,
S0216,E090,0,0,
S0400,E132,1,2,Waste of time.
S0361,E145,1,4,Best event of the year!
S0880,E036,1,3,Decent event.
S0386,E121,0,0,
S0675,E047,0,0,
S0726,E130,0,0,
S0266,E034,1,5,Super informative and fun.
S0357,E150,0,0,
S0850,E104,1,1,Terrible organization.
S0873,E041,1,1,Terrible organization.
S0512,E122,1,2,Waste of time.
S0108,E045,1,4,The event was amazing!
S0064,E065,1,1,Terrible organization.
S0453,E096,0,0,
S0647,E008,1,3,It was okay.
S0716,E116,1,2,Didn't learn anything.
S0570,E052,1,3,Decent event.
S0449,E074,1,2,Waste of time.
S0445,E136,1,1,Didn't learn anything.
S0025,E025,1,1,Waste of time.
S0915,E002,1,4,Super informative and fun.
S0560,E019,1,2,Didn't learn anything.
S0509,E049,1,5,Loved the vibe.
S0513,E091,1,5,Super informative and fun.
S0874,E036,1,4,Loved the vibe.
S0641,E097,1,5,The event was amazing!
S0131,E133,1,1,Terrible organization.
S0511,E060,1,5,Super informative and fun.
S0339,E006,1,3,Average experience.
S0400,E092,1,2,The audio was really bad.
S0077,E137,0,0,
S0248,E133,0,0,
S0513,E080,1,5,The event was amazing!
S0560,E029,0,0,
S0483,E068,1,1,The audio was really bad.
S0432,E067,1,3,It was okay.
S0143,E053,0,0,
S0837,E085,1,2,Very boring.
S0075,E145,0,0,
S0720,E010,1,1,Very boring.
S0613,E021,0,0,
S0491,E034,1,1,Terrible organization.
S0037,E128,0,0,
S0231,E090,1,4,Great speakers and organization.
S0801,E059,1,1,Terrible organization.
S0793,E051,0,0,
S0623,E098,1,5,Loved the vibe.
S0054,E100,1,2,Very boring.
S0719,E110,0,0,
S0142,E030,1,1,Didn't learn anything.
S0926,E095,1,2,The audio was really bad.
S0448,E015,1,2,Terrible organization.
S0603,E003,1,4,Best event of the year!
S0771,E138,0,0,
S0047,E004,1,1,Terrible organization.
S0059,E033,1,2,The audio was really bad.
S0045,E081,1,5,Best event of the year!
S0912,E063,1,2,Didn't learn anything.
S0408,E123,1,1,Terrible organization.
S0257,E140,1,4,Best event of the year!
S0753,E092,1,4,Best event of the year!
S0310,E094,0,0,
S0300,E063,0,0,
S0915,E069,1,5,Super informative and fun.
S0107,E014,1,4,Best event of the year!
S0974,E125,1,1,Waste of time.
S0934,E036,0,0,
S0237,E079,0,0,
S0216,E032,1,2,Terrible organization.
S0241,E113,1,1,Terrible organization.
S0511,E009,1,3,Could be better organized.
S0394,E077,1,1,The audio was really bad.
S0876,E099,1,1,Very boring.
S0394,E114,1,2,Waste of time.
S0389,E048,1,5,The event was amazing!
S0677,E079,1,5,Great speakers and organization.
S0960,E007,0,0,
S0773,E087,1,5,Really enjoyed it.
S0776,E008,1,5,Loved the vibe.
S0887,E110,1,1,Didn't learn anything.
S0398,E074,0,0,
S0475,E109,0,0,
S0737,E146,0,0,
S0267,E042,1,4,Best event of the year!
S0947,E061,1,1,The audio was really bad.
S0819,E071,1,2,Didn't learn anything.
S0303,E087,0,0,
S0405,E010,0,0,
S0281,E093,1,3,Could be better organized.
S0013,E032,1,5,Best event of the year!
S0329,E068,1,4,Loved the vibe.
S0018,E113,1,4,The event was amazing!
S0990,E092,1,5,Really enjoyed it.
S0419,E015,0,0,
S0962,E021,1,5,Super informative and fun.
S0322,E017,1,2,The audio was really bad.
S0785,E071,1,4,Really enjoyed it.
S0233,E045,1,5,Best event of the year!
S0051,E060,1,1,Waste of time.
S0701,E130,1,5,Great speakers and organization.
S0043,E142,1,1,The audio was really bad.
S0999,E066,1,3,Could be better organized.
S0736,E012,0,0,
S0241,E090,1,1,Didn't learn anything.
S0455,E029,0,0,
S0080,E061,1,3,Could be better organized.
S0381,E107,1,4,Great speakers and organization.
S0147,E007,1,5,Great speakers and organization.
S0344,E105,1,4,Great speakers and organization.
S0637,E008,1,3,It was okay.
S0298,E039,0,0,
S0027,E028,0,0,
S0217,E081,0,0,
S0733,E131,0,0,
S0730,E089,1,4,Super informative and fun.
S0034,E039,1,1,Terrible organization.
S0982,E058,0,0,
S0516,E148,0,0,
S0752,E108,0,0,
S0751,E032,0,0,
S0818,E014,0,0,
S0484,E135,0,0,
S0452,E082,1,2,Didn't learn anything.
S0301,E063,1,2,The audio was really bad.
S0237,E117,1,1,Waste of time.
S0456,E105,1,1,The audio was really bad.
S0574,E130,1,3,Decent event.
S0620,E059,1,4,Really enjoyed it.
S0584,E033,0,0,
S0251,E105,0,0,
S0682,E036,0,0,
S0267,E074,1,3,It was okay.
S0084,E105,1,5,Really enjoyed it.
S0590,E127,1,2,Very boring.
S0016,E043,1,4,Great speakers and organization.
S0784,E142,1,1,Waste of time.
S0891,E009,1,1,Waste of time.
S0075,E034,0,0,
S0888,E136,1,4,Great speakers and organization.
S0131,E103,0,0,
S0248,E076,1,3,Average experience.
S0606,E028,1,1,The audio was really bad.
S0973,E115,1,4,Best event of the year!
S0855,E112,1,4,Best event of the year!
S0138,E047,0,0,
S0939,E131,1,2,Terrible organization.
S0608,E095,1,4,Great speakers and organization.
S0450,E046,0,0,
S0740,E072,1,2,The audio was really bad.
S0506,E088,1,5,Super informative and fun.
S0919,E135,0,0,
S0521,E110,1,3,Decent event.
S0327,E046,1,1,Waste of time.
S0441,E133,1,5,Super informative and fun.
S0322,E026,1,3,"Nothing special, but not bad."
S0122,E074,1,4,Loved the vibe.
S0230,E044,1,3,Could be better organized.
S0772,E028,1,3,"Nothing special, but not bad."
S0099,E053,0,0,
S0859,E131,1,1,Didn't learn anything.
S0925,E011,0,0,
S0551,E050,1,4,The event was amazing!
S0379,E053,1,5,Loved the vibe.
S0750,E114,0,0,
S0130,E117,1,1,Terrible organization.
S0456,E111,1,3,It was okay.
S0886,E036,1,1,The audio was really bad.
S0823,E021,1,1,The audio was really bad.
S0161,E130,1,3,Decent event.
S0646,E132,1,3,It was okay.
S0444,E026,0,0,
S0326,E049,0,0,
S0677,E010,1,2,Waste of time.
S0601,E097,1,2,The audio was really bad.
S0482,E039,1,2,Very boring.
S0290,E034,1,1,Didn't learn anything.
S0878,E055,1,4,The event was amazing!
S0503,E143,0,0,
S0214,E046,1,4,Best event of the year!
S0270,E098,0,0,
S0496,E136,1,3,"Nothing special, but not bad."
S0897,E075,1,4,Best event of the year!
S0402,E092,0,0,
S0493,E076,1,2,Terrible organization.
S0987,E074,1,4,Great speakers and organization.
S0254,E109,1,2,Very boring.
S0980,E082,1,3,Decent event.
S0722,E033,1,4,Super informative and fun.
S0422,E061,1,3,Average experience.
S0520,E056,1,1,Didn't learn anything.
S0791,E083,1,3,Decent event.
S0401,E114,1,4,Great speakers and organization.
S0935,E014,1,4,Best event of the year!
S0225,E087,1,3,Decent event.
S0420,E057,0,0,
S0897,E043,0,0,
S0212,E029,0,0,
S0626,E085,1,5,Super informative and fun.
S0021,E006,1,1,The audio was really bad.
S0935,E091,0,0,
S0065,E013,0,0,
S0216,E093,0,0,
S0204,E041,0,0,
S0406,E059,1,2,The audio was really bad.
S0340,E106,1,5,Best event of the year!
S0255,E004,1,1,Didn't learn anything.
S0105,E129,1,4,The event was amazing!
S0161,E073,1,1,Waste of time.
S0647,E064,1,3,It was okay.
S0833,E097,1,2,The audio was really bad.
S0883,E022,1,1,Didn't learn anything.
S0740,E107,1,1,Didn't learn anything.
S0620,E039,1,5,Loved the vibe.
S0199,E080,1,4,Super informative and fun.
S0762,E006,1,3,Decent event.
S0208,E026,1,5,Loved the vibe.
S0386,E075,1,1,Waste of time.
S0991,E105,0,0,
S0286,E124,1,5,Super informative and fun.
S0251,E098,1,4,Best event of the year!
S0404,E096,0,0,
S0732,E028,1,2,Didn't learn anything.
S0999,E007,1,2,Very boring.
S0379,E123,0,0,
S0112,E080,1,2,Terrible organization.
S0098,E144,1,2,Very boring.
S0608,E064,1,2,Very boring.
S0632,E122,0,0,
S0741,E146,1,1,Very boring.
S0259,E106,1,3,"Nothing special, but not bad."
S0038,E083,0,0,
S0614,E105,1,3,"Nothing special, but not bad."
S0774,E144,1,5,Loved the vibe.
S0321,E061,1,4,Best event of the year!
S0495,E132,0,0,
S0880,E021,1,4,Best event of the year!
S0080,E097,1,1,Waste of time.
S0533,E032,1,2,Very boring.
S0891,E030,1,4,Loved the vibe.
S0175,E135,1,2,Didn't learn anything.
S0429,E103,1,3,It was okay.
S0446,E076,1,5,Great speakers and organization.
S0630,E096,0,0,
S0666,E043,1,3,Could be better organized.
S0702,E053,0,0,
S0975,E096,0,0,
S0620,E065,1,4,Really enjoyed it.
S0959,E085,1,2,Didn't learn anything.
S0733,E122,1,3,Decent event.
S0184,E039,1,1,Terrible organization.
S0320,E049,1,1,Didn't learn anything.
S0470,E085,1,1,Didn't learn anything.
S0480,E041,1,3,Could be better organized.
S0905,E058,1,1,Waste of time.
S0282,E073,1,5,Best event of the year!
S0314,E095,0,0,
S0786,E104,1,5,Super informative and fun.
S0657,E052,1,5,Really enjoyed it.
S0106,E056,1,2,The audio was really bad.
S0578,E027,1,5,Super informative and fun.
S0661,E099,1,5,Super informative and fun.
S0620,E071,0,0,
S0685,E122,1,2,Terrible organization.
S0803,E060,1,1,Didn't learn anything.
S0151,E037,1,4,The event was amazing!
S0332,E020,1,2,Didn't learn anything.
S0827,E113,1,4,Great speakers and organization.
